path,svcId,svcPlugins,albDNS,svcName,k8sSvcName,k8sNameSpace,selectorApp,k8sDeployName
/api/tms/v1/offers,"55ec35c8-0fb3-4bdd-be55-946c6fdb367c",;key-auth;cors;jwt-keycloak,"internal-k8s-ingresstmsunivers-2bd05e09c9-2022729164.us-west-2.elb.amazonaws.com","dev-srv00095-tms-offers",ms-srv-tms-universal-offers,dev-ns-tms-universal,"ms-srv-tms-universal-offers","ms-srv-tms-universal-offers"
"/api/pyme2c/reports/v1",ERROR: Mas de un service para el path,,,,,,,
/api/salida/backend/v1,"4578dfc4-40b0-4e77-87a7-26af30331bd5",;cors;key-auth;jwt-keycloak,"internal-k8s-ingresssalidaruta-e5cb63724f-406631911.us-west-2.elb.amazonaws.com","dev-srv00062-salida-backend",ms-salida-ruta,dev-ns-retiro,"ms-salida-ruta","ms-salida-ruta"
"/digitacionFullWS/BXDIG003_full","8848a05f-955a-4869-bbe4-18f1e6a81f44",,"172.20.83.156",,,,,
/api/cross/base/v1,"bde417e1-c122-447b-ae33-93b116eb4337",;cors,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00031-retrieve-base",ms-integrations-base,dev-ns-legacy,"ms-integrations-base","ms-integrations-base"
/api/cross/notifications/v1,"a929b2a4-9b74-475b-8c7e-3992f52b6fec",;cors;jwt-keycloak;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00043-cross-notifications",,,,
/api/cross/folio/v1,"943f593b-b94b-4ce8-bcce-0682cf192a4d",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00047-cross-folio",,,,
/trackingIntegradoWS,"8cde2a5b-816b-44f6-b929-84fd08d4c81d",,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00058-tracking-pull",ms-integrations-tracking-pull,dev-ns-legacy,"ms-integrations-tracking-pull","ms-integrations-tracking-pull"
/api/cross/locations/v1,"ef88d563-b945-4179-bfda-f50cf3c58bb4",;jwt-keycloak;cors;key-auth,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00010-cross-front-pyme2c",poc-ms-super-app-locations,dev-ns-super-app,"poc-ms-super-app-locations","poc-ms-super-app-locations"
"/api/cross/tracking/v1","820cc7ad-4903-4201-a2d1-c1828eae7861",,"172.20.83.156",,,,,
/api/fulfillment/inventory/v1,"6e75f503-2152-4b6d-a2a2-ce1d357c5d61",;cors;key-auth;jwt-keycloak,"internal-k8s-ingressfulfillmen-3f78372bcf-2078518940.us-west-2.elb.amazonaws.com","dev-srv00016-fulfill-front-fulfillment",bx-ms-shipedge-inventory,dev-ns-fulfillment,"bx-ms-shipedge-inventory","bx-ms-shipedge-inventory"
/api/cross/preinvoice/v1,"fc23dfb2-2de8-4479-afd6-7e072791cbf6",;key-auth,,,,,,
/api/integration/tracking-push-generico-alert/v1,"1f4d8b2f-3882-4fb1-b063-4351c5df6ff4",;key-auth,"internal-k8s-ingressintegratio-2c67888271-708280194.us-west-2.elb.amazonaws.com","dev-srv00087-integrations-tracking",ms-integrations-tracking-push-generico-alert,dev-ns-legacy,"ms-integrations-tracking-push-generico-alert","ms-integrations-tracking-push-generico-alert"
/api/cross/shipedge-orders/v1,"69ac66e2-3fc3-4ccd-88fb-9a8f0316dafb",;cors;key-auth,"internal-k8s-ingressintegratio-5c0a982299-1669252598.us-west-2.elb.amazonaws.com","dev-srv00073-cross-order",ms-integrations-shipedge-webhook-api,dev-ns-legacy,"ms-integrations-shipedge-webhook-api","ms-integrations-shipedge-webhook-api"
/api/tms/v1/applications,"d558f885-2b19-4604-babd-8cd8954252ea",;cors;key-auth;jwt-keycloak,"internal-k8s-ingresstmsunivers-2bd05e09c9-2022729164.us-west-2.elb.amazonaws.com","dev-srv00091-tms-applications",ms-srv-tms-universal-applications,dev-ns-tms-universal,"ms-srv-tms-universal-applications","ms-srv-tms-universal-applications"
"/api/cms/v1",ERROR: Mas de un service para el path,,,,,,,
"/RecepcionAduanaService/BXRA001_RecepcionAduana","2672d878-ba79-43f3-9f35-10c045af50ff",,"172.20.83.156",,,,,
/api/tms/v1/vehicles,"8df6dc3c-c782-4214-bcd2-b7371b6e67d6",;jwt-keycloak;cors;key-auth,"internal-k8s-ingresstmsunivers-2bd05e09c9-2022729164.us-west-2.elb.amazonaws.com","dev-srv00094-tms-vehicles",ms-srv-tms-universal-vehicles,dev-ns-tms-universal,"ms-srv-tms-universal-vehicles","ms-srv-tms-universal-vehicles"
/api/pyme2c/graphql,"2ff53df8-38cf-48ef-8e72-09f1fa5b2452",;jwt-keycloak;key-auth;cors,"internal-k8s-pocpyme2c-d44df5061a-362097308.us-west-2.elb.amazonaws.com","dev-srv00001-pyme2c-front-pyme2c",,,,
/api/cross/agency/v1,"ee9461ef-6c26-4ece-ab53-7b9f2fba5432",;key-auth;cors;jwt-keycloak,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00072-cross-agency",ms-integrations-agency,dev-ns-legacy,"ms-integrations-agency","ms-integrations-agency"
/api/retrieve/v1/pickup,"b4e70861-cde6-4813-863a-0f6a773e4525",;key-auth;cors;jwt-keycloak,"internal-k8s-ingressintegratio-26bca519c6-951417911.us-west-2.elb.amazonaws.com","dev-srv00024-retr-front-retiro",ms-integrations-pickup,dev-ns-legacy,"ms-integrations-pickup","ms-integrations-pickup"
/api/cross/tariff/v1,"37ce4a38-95f8-42c7-9148-8df503514963",;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00040-cross-tariff",,,,
"/api/pyme2c/reports/v1",ERROR: Mas de un service para el path,,,,,,,
/api/liquidaciones/operation/v1,"44d0465b-e81e-41a1-a83b-5e92e76b7cea",;cors,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00044-liquidaciones-operation",poc-legacy-liq,dev-ns-legacy,"poc-legacy-liq",
/api/fulfillment/bff/v1,"de37259e-ad71-4327-a147-dc3c7b9de99d",;key-auth;jwt-keycloak;cors,"internal-k8s-ingressfulfillmen-3f78372bcf-2078518940.us-west-2.elb.amazonaws.com","dev-srv00018-fulfill-front-fulfillment",ms-fulfillment-bff,dev-ns-fulfillment,"ms-fulfillment-bff","ms-fulfillment-bff"
/api/container/validation/v1,"791bacd1-a294-48a4-9aac-b53686ee660d",;key-auth;jwt-keycloak;cors,"internal-k8s-ingresscontainer-fcc9610877-445198957.us-west-2.elb.amazonaws.com","dev-srv00022-cross-front-contain",ms-container-validation,dev-ns-containers,"ms-container-validation","ms-container-validation"
"/api/orders/publisher/v1","9fe2f300-4ba5-487d-b0a0-b46c1e0c5269",;key-auth;aws-lambda;prometheus,,,,,,
/api/cross/v1/georeference,"f290339e-97b5-4350-8ede-c2e58d5cfe35",;key-auth;jwt-keycloak,"internal-k8s-ingressintegratio-a73ededd04-1661661832.us-west-2.elb.amazonaws.com","dev-srv00083-cross-georeferencs",ms-integration-georeference,dev-ns-legacy,"ms-integration-georeference","ms-integration-georeference"
/api/tms/v1/geography,"4023aa8c-2196-4850-b1b1-6ed4e283550d",;cors;key-auth;jwt-keycloak,"internal-k8s-ingresstmsunivers-2bd05e09c9-2022729164.us-west-2.elb.amazonaws.com","dev-srv00085-tms-geography",ms-srv-tms-universal-geography,dev-ns-tms-universal,"ms-srv-tms-universal-geography","ms-srv-tms-universal-geography"
/api/pyme2c/massive-emissions/v1,"bc3ed299-c579-4748-b322-d37f3e017c96",;key-auth;cors;jwt-keycloak,"internal-k8s-ingresspyme2c-deffada9e5-1182658737.us-west-2.elb.amazonaws.com","dev-srv00008-pyme2c-front-pyme2c",poc-ms-super-app-massive-emissions,dev-ns-super-app,"poc-ms-super-app-massive-emissions",
/api/pyme2c/problem-solution/v1,"8dbca429-d917-4b86-a408-b352dff41d06",;key-auth;jwt-keycloak;cors,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00081-problem-solution",ms-super-app-problem-solution,dev-ns-legacy,"ms-super-app-problem-solution","ms-super-app-problem-solution"
/api/facturacion/socket,"c4be200f-83ee-40e4-aac0-8c63d9514790",;cors,"internal-k8s-ingressfacturacio-834329051d-19064827.us-west-2.elb.amazonaws.com","dev-srv00069-facturacion-websocket",ms-facturacion-service-socket,dev-ns-facturacion,"ms-facturacion-service-socket","ms-facturacion-service-socket"
/api/integrations/meli/v1,"66868f94-d113-448c-934e-997f7134fabb",;jwt-keycloak;cors;key-auth,"internal-k8s-ingressintegratio-1aaac72645-749411124.us-west-2.elb.amazonaws.com","dev-srv00052-integration-meli",ms-integrations-authorization-meli,dev-ns-legacy,"ms-integrations-authorization-meli","ms-integrations-authorization-meli"
/api/node/v1,"a51b54ca-f805-4391-b03a-633e10fa9b70",;jwt-keycloak;key-auth;cors,"internal-k8s-ingrzgrplabs-e08ee95e02-2048662286.us-west-2.elb.amazonaws.com","bx-srv-tmpl-node-mongo-redis",bx-tmpl-node-mongo-redis,dev-ns-labs,"bx-tmpl-node-mongo-redis","bx-tmpl-node-mongo-redis"
/api/pyme2c/subscription,"b77e45d2-629b-48be-8855-5ab3673542b4",;cors,"internal-k8s-pocpyme2c-d44df5061a-362097308.us-west-2.elb.amazonaws.com","dev-srv00002-pyme2c-front-pyme2c",,,,
